Station ID,Functional Class,Lat/Long,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"121-r620",7U : Urban Local,"33.741546, -84.392184",2019,31000,Estimated,,,,,0.0834,1,62000,Short Term
"121-r621",7U : Urban Local,"33.747977, -84.386598",2019,44900,Estimated,,,,,0.0785,1,56500,Short Term
"121-r622",1U : Urban Principal Arterial - Interstate,"33.745964, -84.394250",2019,900,Estimated,,,,,0.1441,1,1140,Short Term
"121-r623",7U : Urban Local,"33.750090, -84.382394",2019,13700,Estimated,,,,,0.1536,1,23400,Short Term
"121-r626",7U : Urban Local,"33.753120, -84.379390",2019,10200,Estimated,,,,,0.1261,1,17200,Short Term
"121-r628",7U : Urban Local,"33.755790, -84.378819",2019,14800,Estimated,,,,,0.0861,1,20100,Short Term
"121-r629",1U : Urban Principal Arterial - Interstate,"33.760074, -84.380248",2019,5020,Estimated,,,,,0.1188,1,6330,Short Term
"121-r630",1U : Urban Principal Arterial - Interstate,"33.758375, -84.380511",2019,10400,Estimated,,,,,0.116,1,15600,Short Term
"121-r631",7U : Urban Local,"33.762590, -84.382813",2019,11400,Estimated,,,,,0.0918,1,17100,Short Term
"121-r632",1U : Urban Principal Arterial - Interstate,"33.758455, -84.378803",2019,1460,Estimated,,,,,0.1076,1,2620,Short Term
"121-r633",1U : Urban Principal Arterial - Interstate,"33.764640, -84.385090",2019,11400,Estimated,,,,,0.1705,1,14800,Short Term
"121-r634",7U : Urban Local,"33.766330, -84.389890",2019,18200,Actual,,,,,0.0744,1,23000,Short Term
"121-r635",7U : Urban Local,"33.768323, -84.390595",2019,11700,Estimated,,,,,0.1444,1,14700,Short Term
"121-r637",7U : Urban Local,"33.766555, -84.390226",2019,1550,Estimated,,,,,0.1719,1,1950,Short Term
"121-r639",7U : Urban Local,"33.773593, -84.390567",2019,15100,Estimated,,,,,0.1186,1,20100,Short Term
"121-r640",7U : Urban Local,"33.780534, -84.391451",2019,19500,Estimated,,,,,0.0717,1,26700,Short Term
"121-r642",1U : Urban Principal Arterial - Interstate,"33.793286, -84.391416",2019,8480,Estimated,,,,,0.1165,1,16300,Short Term
"121-r643",7U : Urban Local,"33.793137, -84.393550",2019,7090,Estimated,,,,,,,8930,Short Term
"121-r648",1U : Urban Principal Arterial - Interstate,"33.803774, -84.411065",2019,20600,Actual,,,,,0.0689,1,25900,Short Term
"121-r649",1U : Urban Principal Arterial - Interstate,"33.803583, -84.409818",2019,770,Estimated,,,,,0.192,1,1900,Short Term
"121-r650",,"33.801495, -84.403476",2019,26300,Actual,,,,,0.0737,1,33200,Short Term
"121-r651",1U : Urban Principal Arterial - Interstate,"33.806300, -84.415620",2019,15200,Actual,,,,,0.0965,1,21700,Short Term
"121-r653",1U : Urban Principal Arterial - Interstate,"33.833733, -84.427125",2019,3900,Actual,,,,,0.125,1,4910,Short Term
"121-r654",1U : Urban Principal Arterial - Interstate,"33.831346, -84.427323",2019,6260,Actual,,,,,0.0914,1,8990,Short Term
"121-r655",1U : Urban Principal Arterial - Interstate,"33.850586, -84.431328",2019,8770,Actual,,,,,0.1001,1,12200,Short Term
"121-r656",1U : Urban Principal Arterial - Interstate,"33.847631, -84.431022",2019,4790,Actual,,,,,0.1145,1,7570,Short Term
"121-r657",7U : Urban Local,"33.866262, -84.441178",2019,3420,Actual,,,,,0.1559,1,4310,Short Term
"121-r658",1U : Urban Principal Arterial - Interstate,"33.862205, -84.437556",2019,5140,Actual,,,,,0.1189,1,11800,Short Term
"121-r664",1U : Urban Principal Arterial - Interstate,"33.824760, -84.360200",2019,11400,Estimated,,,,,,,32500,Short Term
"121-r667",2U : Urban Principal Arterial - Freeways & Expressways,"33.829067, -84.360679",2019,13400,Actual,,,,,0.1192,1,16900,Short Term
"121-r669",2U : Urban Principal Arterial - Freeways & Expressways,"33.854384, -84.370166",2019,21600,Actual,,,,,0.1132,1,41800,Short Term
"121-r670",2U : Urban Principal Arterial - Freeways & Expressways,"33.849879, -84.369291",2019,21200,Actual,,,,,0.0861,1,43300,Short Term
"121-r671",1U : Urban Principal Arterial - Interstate,"33.907611, -84.357856",2019,7110,Actual,,,,,0.0977,1,8960,Short Term
"121-r672",1U : Urban Principal Arterial - Interstate,"33.898730, -84.362240",2019,18600,Actual,,,,,0.0891,1,29900,Short Term
"121-r676",7U : Urban Local,"33.913672, -84.355680",2019,10800,Estimated,,,,,,,20100,Short Term
"121-r678",7U : Urban Local,"33.931162, -84.358187",2019,21600,Estimated,,,,,0.0886,1,32500,Short Term
"121-r679",7U : Urban Local,"33.935601, -84.358132",2019,11000,Actual,,,,,0.1066,1,13900,Short Term
"121-r681",7U : Urban Local,"33.981115, -84.342759",2019,12100,Estimated,,,,,0.1187,1,15300,Short Term
"121-r682",2U : Urban Principal Arterial - Freeways & Expressways,"33.979252, -84.343588",2019,14600,Actual,,,,,0.1169,1,18400,Short Term
